version,fork,shape,size,ns,bytes,count,equivalent
before,1,join_positional,4,8594.531,4312,4,true
before,1,deep_unary,8192,2578700,1214283.200,1,true
before,1,array_mybatis,4096,918718.182,1272216,4096,true
before,1,where_named,2,2279.492,2384,2,true
before,1,array_mybatis,256,55776.398,65544,256,true
before,1,jdbc_escape,1,2602.197,1584,1,true
before,1,bare_concat,8192,971300,581739,8192,true
before,1,array_named,8192,683354.545,1185650.909,8192,true
before,1,deep_unary,1024,355300,147760,1,true
before,1,bare_concat,4096,475089.474,203160,4096,true
before,1,array_named,1024,78149.123,122336,1024,true
before,1,join_mybatis,4,8039.404,8616,4,true
before,1,json_operator,1,2510.449,1536,1,true
before,1,where_mybatis,16,18796.826,25368,16,true
before,1,join_named,4,5789.063,5008,4,true
before,1,cached_positional_same,2,12.537,0,2,true
before,1,cached_positional_equal,2,16.416,0,2,true
before,1,cached_named_same,2,12.062,0,2,true
before,1,cached_named_equal,2,16.270,0,2,true
before,2,array_named,8192,726891.667,1185775.333,8192,true
before,2,where_mybatis,16,18717.139,25368,16,true
before,2,deep_unary,8192,2528800,1213462,1,true
before,2,bare_concat,256,31792.933,13512,256,true
before,2,deep_unary,1024,320158.621,147760,1,true
before,2,where_positional,128,106370.850,42632,128,true
before,2,where_positional,16,15804.395,6128,16,true
before,2,array_named,256,18918.773,30168,256,true
before,2,quoted_and_comments,2,3066.406,1608,2,true
before,2,join_mybatis,4,8163.867,8616,4,true
before,2,where_named,16,12089.795,11552,16,true
before,2,deep_unary,256,80644.248,38384,1,true
before,2,json_operator,1,2627.588,1536,1,true
before,2,jdbc_escape,1,2835.596,1584,1,true
before,2,array_named,4096,343109.524,510400,4096,true
before,2,array_mybatis,1024,240825.714,316088,1024,true
before,2,array_positional,1024,216540.426,418688,1024,true
before,2,array_mybatis,256,58002.098,65544,256,true
before,2,array_mybatis,8192,2026440,2750443.200,8192,true
before,2,bare_concat,4096,473362.500,203160,4096,true
before,2,where_named,2,2243.604,2384,2,true
before,2,geometric_cast,1,2307.129,1400,1,true
before,2,array_mybatis,4096,1025410,1272216,4096,true
before,2,join_positional,4,9103.906,4312,4,true
before,2,array_named,1024,86984,122336,1024,true
before,2,array_positional,8192,1814883.333,3573214.667,8192,true
before,2,where_mybatis,2,3118.408,4008,2,true
before,2,bare_concat,1024,119501.389,61056,1024,true
before,2,deep_unary,4096,1250822.222,585168,1,true
before,2,bare_concat,8192,961788.889,581967.111,8192,true
before,2,no_parameters,0,1464.160,1400,0,true
before,2,array_positional,4096,884866.667,1613680,4096,true
before,2,where_positional,2,2996.875,1872,2,true
before,2,join_named,4,5832.324,5008,4,true
before,2,array_positional,256,57576.571,101168,256,true
before,2,json_constructor,1,2541.504,1576,1,true
before,2,cached_positional_same,2,13.352,0,2,true
before,2,cached_positional_equal,2,17.835,0,2,true
before,2,cached_named_same,2,13.355,0,2,true
before,2,cached_named_equal,2,17.224,0,2,true
before,3,deep_unary,256,80871.074,38384,1,true
before,3,array_named,4096,347304.545,510400,4096,true
before,3,quoted_and_comments,2,2918.896,1608,2,true
before,3,array_named,1024,78504.673,122336,1024,true
before,3,geometric_cast,1,2203.320,1400,1,true
before,3,where_positional,128,104607.959,42632,128,true
before,3,array_named,256,19177.597,30168,256,true
before,3,array_mybatis,1024,235402.326,316088,1024,true
before,3,no_parameters,0,1393.604,1400,0,true
before,3,json_operator,1,2500.635,1536,1,true
before,3,where_mybatis,16,18770.557,25368,16,true
before,3,array_positional,256,55026.705,101168,256,true
before,3,array_mybatis,256,56314.474,65544,256,true
before,3,deep_unary,4096,1258900,585168,1,true
before,3,where_positional,16,14754.004,6128,16,true
before,3,bare_concat,256,31892.446,13512,256,true
before,3,json_constructor,1,2492.188,1576,1,true
before,3,where_named,16,12631.836,11552,16,true
before,3,array_mybatis,4096,956972.727,1272216,4096,true
before,3,array_positional,8192,1829533.333,3573214.667,8192,true
before,3,bare_concat,1024,123700,61056,1024,true
before,3,where_named,2,2250.684,2384,2,true
before,3,join_positional,4,8631.787,4312,4,true
before,3,deep_unary,8192,2528380,1214283.200,1,true
before,3,deep_unary,1024,316227.273,148257.697,1,true
before,3,array_named,8192,709476.923,1185880.615,8192,true
before,3,array_positional,1024,228116.667,418688,1024,true
before,3,join_mybatis,4,7615.332,8616,4,true
before,3,bare_concat,4096,473359.091,203160,4096,true
before,3,join_named,4,5937.549,5008,4,true
before,3,where_positional,2,2920.850,1872,2,true
before,3,jdbc_escape,1,2609.082,1584,1,true
before,3,array_positional,4096,878880,1613680,4096,true
before,3,bare_concat,8192,957172.727,582298.909,8192,true
before,3,where_mybatis,2,3234.961,4008,2,true
before,3,array_mybatis,8192,1896400,2750990.667,8192,true
before,3,cached_positional_same,2,13.028,0,2,true
before,3,cached_positional_equal,2,17.796,0,2,true
before,3,cached_named_same,2,13.318,0,2,true
before,3,cached_named_equal,2,17.492,0,2,true
before,4,array_named,4096,341857.692,510400,4096,true
before,4,array_named,1024,78285.841,122336,1024,true
before,4,geometric_cast,1,2205.518,1400,1,true
before,4,array_named,8192,708607.692,1185880.615,8192,true
before,4,bare_concat,256,30999.298,13512,256,true
before,4,array_positional,256,51988.554,101168,256,true
before,4,join_mybatis,4,7494.287,8616,4,true
before,4,join_positional,4,8914.502,4312,4,true
before,4,deep_unary,1024,313284.375,147760,1,true
before,4,where_positional,16,14943.262,6128,16,true
before,4,json_constructor,1,2475.293,1576,1,true
before,4,no_parameters,0,1397.559,1400,0,true
before,4,array_mybatis,8192,1936333.333,2750990.667,8192,true
before,4,join_named,4,5853.516,5008,4,true
before,4,deep_unary,4096,1249116.667,585168,1,true
before,4,quoted_and_comments,2,2901.904,1608,2,true
before,4,array_mybatis,1024,235177.273,316088,1024,true
before,4,json_operator,1,2472.656,1536,1,true
before,4,where_named,16,12071.777,11552,16,true
before,4,where_positional,128,105155.518,42632,128,true
before,4,deep_unary,256,81768.852,38384,1,true
before,4,jdbc_escape,1,2594.727,1584,1,true
before,4,array_positional,1024,219014.286,418688,1024,true
before,4,where_positional,2,2942.871,1872,2,true
before,4,array_named,256,18713.932,30168,256,true
before,4,where_mybatis,2,3105.371,4008,2,true
before,4,array_positional,8192,1748271.429,3573605.714,8192,true
before,4,bare_concat,8192,979554.545,582298.909,8192,true
before,4,array_mybatis,4096,947918.182,1273709.091,4096,true
before,4,bare_concat,1024,122435.366,61056,1024,true
before,4,bare_concat,4096,477477.273,203160,4096,true
before,4,where_mybatis,16,18544.238,25368,16,true
before,4,array_mybatis,256,56047.126,65544,256,true
before,4,array_positional,4096,851808.333,1613680,4096,true
before,4,where_named,2,2260.400,2384,2,true
before,4,deep_unary,8192,2534820,1214283.200,1,true
before,4,cached_positional_same,2,12.529,0,2,true
before,4,cached_positional_equal,2,16.475,0,2,true
before,4,cached_named_same,2,12.195,0,2,true
before,4,cached_named_equal,2,16.087,0,2,true
before,5,deep_unary,1024,313663.636,147760,1,true
before,5,no_parameters,0,1517.236,1400,0,true
before,5,array_positional,1024,221191.837,418688,1024,true
before,5,where_positional,2,3026.563,1872,2,true
before,5,array_mybatis,4096,941390.909,1272216,4096,true
before,5,array_named,256,18731.892,30168,256,true
before,5,where_named,2,2252.930,2384,2,true
before,5,array_named,8192,683590,1185501.600,8192,true
before,5,array_positional,256,53742.149,101168,256,true
before,5,deep_unary,8192,2549180,1214283.200,1,true
before,5,where_mybatis,2,3126.367,4008,2,true
before,5,json_constructor,1,2502.246,1576,1,true
before,5,join_named,4,5892.383,5008,4,true
before,5,deep_unary,256,80916.129,38384,1,true
before,5,where_positional,128,105605.420,42632,128,true
before,5,array_mybatis,8192,1900116.667,2750990.667,8192,true
before,5,bare_concat,256,31141.447,13566.026,256,true
before,5,bare_concat,8192,942490.909,582298.909,8192,true
before,5,where_mybatis,16,18925.049,25368,16,true
before,5,array_named,4096,332260,510400,4096,true
before,5,join_positional,4,8940.674,4312,4,true
before,5,bare_concat,4096,465156.522,203160,4096,true
before,5,where_named,16,12060.205,11552,16,true
before,5,jdbc_escape,1,2639.844,1584,1,true
before,5,quoted_and_comments,2,2993.848,1608,2,true
before,5,array_mybatis,1024,237297.561,316088,1024,true
before,5,geometric_cast,1,2302.832,1400,1,true
before,5,array_mybatis,256,55943.312,65544,256,true
before,5,array_positional,8192,1749057.143,3573605.714,8192,true
before,5,where_positional,16,14698.047,6128,16,true
before,5,bare_concat,1024,121680.488,61056,1024,true
before,5,array_positional,4096,843476.923,1613680,4096,true
before,5,json_operator,1,2515.332,1536,1,true
before,5,array_named,1024,78773.109,122336,1024,true
before,5,deep_unary,4096,1247333.333,585168,1,true
before,5,join_mybatis,4,7494.580,8616,4,true
before,5,cached_positional_same,2,12.841,0,2,true
before,5,cached_positional_equal,2,16.478,0,2,true
before,5,cached_named_same,2,12.336,0,2,true
before,5,cached_named_equal,2,17.116,0,2,true
current,1,array_positional,4096,26174.093,57976,4096,true
current,1,array_mybatis,1024,97121.212,280920,1024,true
current,1,quoted_and_comments,2,1657.373,1432,2,true
current,1,array_named,4096,201967.391,453056,4096,true
current,1,no_parameters,0,1062.744,1184,0,true
current,1,where_positional,16,5831.641,5680,16,true
current,1,deep_unary,256,27822.373,37560,1,true
current,1,array_positional,1024,6820.517,14968,1024,true
current,1,array_named,256,11774.725,26440,256,true
current,1,json_constructor,1,1310.498,1336,1,true
current,1,where_positional,128,40755.078,39944,128,true
current,1,array_mybatis,8192,746150,2164430.667,8192,true
current,1,geometric_cast,1,1088.818,1088,1,true
current,1,array_positional,8192,63992.357,213647.389,8192,true
current,1,where_mybatis,2,1909.229,3024,2,true
current,1,bare_concat,256,12635.025,10520,256,true
current,1,where_positional,2,1411.475,1624,2,true
current,1,deep_unary,4096,437176,576664,1,true
current,1,array_positional,256,2091.796,4233.055,256,true
current,1,where_named,16,5666.016,9632,16,true
current,1,bare_concat,1024,51196.739,46440,1024,true
current,1,join_positional,4,3877.002,4008,4,true
current,1,deep_unary,8192,856425,1199503.333,1,true
current,1,array_mybatis,4096,378412.500,1037720,4096,true
current,1,where_named,2,1334.033,2032,2,true
current,1,array_mybatis,256,23811.878,58232,256,true
current,1,jdbc_escape,1,1450.146,1368,1,true
current,1,bare_concat,8192,391904,450103.040,8192,true
current,1,array_named,8192,411100,986650.800,8192,true
current,1,deep_unary,1024,105316.327,145400,1,true
current,1,bare_concat,4096,200968,158072,4096,true
current,1,array_named,1024,47037.696,104680,1024,true
current,1,join_mybatis,4,4558.838,6688,4,true
current,1,json_operator,1,1448.193,1320,1,true
current,1,where_mybatis,16,10402.393,18040,16,true
current,1,join_named,4,3427.930,4392,4,true
current,1,cached_positional_same,2,12.506,0,2,true
current,1,cached_positional_equal,2,16.089,0,2,true
current,1,cached_named_same,2,12.443,0,2,true
current,1,cached_named_equal,2,16.081,0,2,true
current,2,array_named,8192,418605.556,986559.556,8192,true
current,2,where_mybatis,16,10811.523,18040,16,true
current,2,deep_unary,8192,866780,1199229.600,1,true
current,2,bare_concat,256,17177.005,10520,256,true
