version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline,read_executable_comment,5,117.556,112.401,142.029,248,true
baseline-control,read_executable_comment,3,112.733,112.153,113.656,248,true
before,read_executable_comment,1,115.758,115.758,115.758,344,true
current,read_executable_comment,5,83.749,77.967,88.317,0,true
baseline,read_hash,5,1510444.444,1484246.154,1660823.077,1534112,true
baseline-control,read_hash,3,1458655.556,1435855.556,1531685.714,1534112,true
before,read_hash,1,63696.573,63696.573,63696.573,85464,true
current,read_hash,5,11412.037,10962.078,15266.762,2360,true
baseline,read_insert,5,95.344,94.537,105.976,224,true
baseline-control,read_insert,3,94.476,93.774,98.005,224,true
before,read_insert,1,101.329,101.329,101.329,320,true
current,read_insert,5,13.055,12.543,13.908,0,true
baseline,read_insert_comments,5,36793.44,35240.888,50776.658,33664,true
baseline-control,read_insert_comments,3,35588.519,33446.449,35628.904,33664,true
before,read_insert_comments,1,43368.638,43368.638,43368.638,46416,true
current,read_insert_comments,5,15686.804,15394.408,16108.576,6840,true
baseline,read_insert_cte,5,24715.035,23517.935,25487.118,34976,true
baseline-control,read_insert_cte,3,23749.317,23202.928,24754.557,34976,true
before,read_insert_cte,1,24749.823,24749.823,24749.823,38512,true
current,read_insert_cte,5,4157.701,4084.4,4522.394,3800,true
baseline,read_insert_executable_comment,5,122.996,110.663,129.58,248,true
baseline-control,read_insert_executable_comment,3,114.985,114.692,116.801,248,true
before,read_insert_executable_comment,1,119.123,119.123,119.123,344,true
current,read_insert_executable_comment,5,79.713,78.803,84.034,0,true
baseline,read_insert_hash,5,2528544.444,2491212.5,2705271.429,2562784,true
baseline-control,read_insert_hash,3,2452833.333,2339233.333,2476366.667,2562784,true
before,read_insert_hash,1,79363.91,79363.91,79363.91,98072,true
current,read_insert_hash,5,14901.853,13846.708,16894.605,2440,true
baseline,read_insert_insert,5,4883.096,4736.885,4989.671,7168,true
baseline-control,read_insert_insert,3,4580.066,4553.149,4725.428,7168,true
before,read_insert_insert,1,5530.371,5530.371,5530.371,8368,true
current,read_insert_insert,5,991.719,949.789,993.373,656,true
baseline,read_insert_large,5,314572.464,309446.154,340910.526,357376,true
baseline-control,read_insert_large,3,310736.986,307839.344,316273.846,357376,true
before,read_insert_large,1,354292.5,354292.5,354292.5,453200,true
current,read_insert_large,5,65325.073,62072.947,68419.938,27280,true
baseline,read_insert_literal,5,6119.608,5993.122,7375.412,7424,true
baseline-control,read_insert_literal,3,6084.13,5739.65,6460.515,7424,true
before,read_insert_literal,1,6488.944,6488.944,6488.944,8048,true
current,read_insert_literal,5,1200.01,1104.087,1244.331,752,true
baseline,read_insert_multiple,5,3924.47,3858.309,4251.442,6208,true
baseline-control,read_insert_multiple,3,3813.692,3681.857,4000.647,6208,true
before,read_insert_multiple,1,4216.868,4216.868,4216.868,7216,true
current,read_insert_multiple,5,898.216,821.256,998.503,664,true
baseline,read_insert_mutation,5,327.284,319.053,342.148,520,true
baseline-control,read_insert_mutation,3,331.342,312.136,333.574,520,true
before,read_insert_mutation,1,305.876,305.876,305.876,712,true
current,read_insert_mutation,5,242.895,237.043,262.18,200,true
baseline,read_insert_mysql_dash,5,336.454,329.657,427.964,544,true
baseline-control,read_insert_mysql_dash,3,333.241,332.354,337.028,544,true
before,read_insert_mysql_dash,1,314.584,314.584,314.584,736,true
current,read_insert_mysql_dash,5,288.638,276.029,308.141,400,true
baseline,read_insert_quoted_large,5,383618.966,371341.667,396029.31,110528,true
baseline-control,read_insert_quoted_large,3,358916.667,356520.635,380769.492,110528,true
before,read_insert_quoted_large,1,466114.583,466114.583,466114.583,251280,true
current,read_insert_quoted_large,5,9921.423,9588.206,10273.721,26816,true
baseline,read_insert_simple,5,12116.445,11787.225,12704.712,16928,true
baseline-control,read_insert_simple,3,11747.298,11294.729,11860.145,16928,true
before,read_insert_simple,1,13334.871,13334.871,13334.871,20816,true
current,read_insert_simple,5,2275.764,2253.927,2343.525,1424,true
baseline,read_insert_upsert,5,2063.528,1992.512,2306.12,2696,true
baseline-control,read_insert_upsert,3,2017.748,1972.856,2019.83,2696,true
before,read_insert_upsert,1,2427.294,2427.294,2427.294,3368,true
current,read_insert_upsert,5,804.285,788.786,897.521,64,true
baseline,read_large,5,164774.444,160618.792,202353.571,140992,true
baseline-control,read_large,3,154116.667,150359.355,159693.182,140992,true
before,read_large,1,210236.364,210236.364,210236.364,236816,true
