version,case,fork,ns,bytes
baseline-control,tokenize_backslashes,2,359.065,488
baseline-control,tokenize_backslashes,3,314.914,488
baseline-control,walk_tokens_comments,1,8354.083,1920
baseline-control,walk_tokens_comments,2,8917.472,1920
baseline-control,walk_tokens_comments,3,6882.245,1920
baseline-control,read_insert_literal,1,6084.13,7424
baseline-control,read_insert_literal,2,6460.515,7424
baseline-control,read_insert_literal,3,5739.65,7424
baseline-control,tokenize_hash_operator,1,109.448,104
baseline-control,tokenize_hash_operator,2,109.961,104
baseline-control,tokenize_hash_operator,3,112.818,104
baseline-control,walk_bounds_comments,1,2992.261,0
baseline-control,walk_bounds_comments,2,3015.468,0
baseline-control,walk_bounds_comments,3,3229.316,0
baseline-control,end_custom,1,116.121,0
baseline-control,end_custom,2,116.713,0
baseline-control,end_custom,3,122.002,0
baseline-control,index_whitespace,1,94.349,72
baseline-control,index_whitespace,2,101.531,72
baseline-control,index_whitespace,3,96.192,72
baseline-control,classify_update,1,359.887,864
baseline-control,classify_update,2,347.993,864
baseline-control,classify_update,3,354.092,864
baseline-control,read_insert_large,1,307839.344,357376
baseline-control,read_insert_large,2,316273.846,357376
baseline-control,read_insert_large,3,310736.986,357376
baseline-control,select_simple,1,622.635,1440
