version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline-control,index_sensitive,3,362.577,361.954,364.373,480,true
before,index_sensitive,1,432.374,432.374,432.374,528,true
current,index_sensitive,5,203.406,188.019,219.38,0,true
baseline,index_whitespace,5,81.911,79.252,84.722,72,true
baseline-control,index_whitespace,3,78.262,75.569,84.049,72,true
before,index_whitespace,1,92.601,92.601,92.601,120,true
current,index_whitespace,5,43.469,42.767,48.096,0,true
baseline,next_custom,5,234.774,232.878,239.579,48,false
baseline-control,next_custom,3,233.436,157.342,238.071,48,false
before,next_custom,1,43.693,43.693,43.693,96,true
current,next_custom,5,22.775,22.215,25.691,48,true
baseline,next_empty,5,58.176,48.027,63.185,0,true
baseline-control,next_empty,3,56.023,40.463,57.809,0,true
before,next_empty,1,47.445,47.445,47.445,48,true
current,next_empty,5,32.231,31.575,33.273,0,true
baseline,next_hash,5,487.622,466.514,490.757,336,true
baseline-control,next_hash,3,481.287,479.998,492.459,336,true
before,next_hash,1,209.751,209.751,209.751,392,true
current,next_hash,5,106.574,94.637,118.149,248,true
baseline,next_quote,5,21241.952,18128.467,26267.148,8760,true
baseline-control,next_quote,3,20675.678,19700.774,33527.778,8760,true
before,next_quote,1,28699.852,28699.852,28699.852,8808,true
current,next_quote,5,893.152,819.17,913.392,8760,true
baseline,next_trivia,5,94.148,87.562,112.225,48,true
baseline-control,next_trivia,3,96.991,91.911,112.888,48,true
before,next_trivia,1,102.843,102.843,102.843,96,true
current,next_trivia,5,62.121,61.773,67.741,48,true
baseline,next_word,5,55.215,54.579,72.354,48,true
baseline-control,next_word,3,72.492,55.489,73.072,48,true
before,next_word,1,80.443,80.443,80.443,96,true
current,next_word,5,35.546,34.73,41.726,48,true
baseline,read_comments,5,19476.568,18773.842,20027.897,16448,true
baseline-control,read_comments,3,19444.444,19295.586,20204.688,16448,true
before,read_comments,1,26765.672,26765.672,26765.672,29200,true
current,read_comments,5,13681.485,12547.495,14218.758,8992,true
baseline,read_cte,5,14900.072,14418.489,15163.561,20064,true
baseline-control,read_cte,3,15061.168,15001.262,16337.979,20064,true
before,read_cte,1,16938.005,16938.005,16938.005,24368,true
current,read_cte,5,3604.506,3431.906,3981.828,4488,true
baseline,read_executable_comment,5,110.429,108.085,115.988,248,true
baseline-control,read_executable_comment,3,111.702,111.39,112.866,248,true
before,read_executable_comment,1,117.475,117.475,117.475,344,true
current,read_executable_comment,5,102.581,101.18,115.117,0,true
baseline,read_hash,5,1495320,1431421.429,1531571.429,1534112,true
baseline-control,read_hash,3,1452433.333,1407928.571,1452644.444,1534112,true
before,read_hash,1,59216.959,59216.959,59216.959,85464,true
current,read_hash,5,18116.467,17018.571,20137.963,3088,true
baseline,read_insert,5,91.845,88.907,95.826,224,true
baseline-control,read_insert,3,91.808,90.921,95.337,224,true
before,read_insert,1,98.543,98.543,98.543,320,true
current,read_insert,5,12.417,11.644,12.509,0,true
baseline,read_insert_comments,5,34933.232,33684.677,35496.616,33664,true
baseline-control,read_insert_comments,3,34643.813,34510.368,36855.493,33664,true
before,read_insert_comments,1,43105.785,43105.785,43105.785,46416,true
current,read_insert_comments,5,17501.616,16552.732,18728.116,9152,true
baseline,read_insert_cte,5,23059.32,22374.554,24451.552,34976,true
baseline-control,read_insert_cte,3,23943.458,23362.879,24232.302,34976,true
before,read_insert_cte,1,25710.861,25710.861,25710.861,38512,true
current,read_insert_cte,5,4397.98,4289.193,5061.347,4568,true
baseline,read_insert_executable_comment,5,114.123,109.032,116.957,248,true
baseline-control,read_insert_executable_comment,3,111.684,109.064,112.982,248,true
before,read_insert_executable_comment,1,119.073,119.073,119.073,344,true
current,read_insert_executable_comment,5,104.547,101.486,122.872,0,true
baseline,read_insert_hash,5,2501577.778,2402277.778,2642375,2562784,true
baseline-control,read_insert_hash,3,2394155.556,2365733.333,2397888.889,2562784,true
before,read_insert_hash,1,76512.821,76512.821,76512.821,98072,true
current,read_insert_hash,5,20528.76,19341.967,22734.972,3168,true
baseline,read_insert_insert,5,4554.137,4523.537,4947.203,7168,true
baseline-control,read_insert_insert,3,4479.284,4464.921,4637.642,7168,true
before,read_insert_insert,1,5262.842,5262.842,5262.842,8368,true
current,read_insert_insert,5,1030.042,984.012,1202.986,704,true
baseline,read_insert_large,5,298950,294933.824,324611.94,357376,true
baseline-control,read_insert_large,3,301318.571,298972.727,312429.412,357376,true
before,read_insert_large,1,356582.759,356582.759,356582.759,453200,true
current,read_insert_large,5,66397.419,62523.708,69379.061,27328,true
baseline,read_insert_literal,5,6092.573,5838.183,6192.408,7424,true
baseline-control,read_insert_literal,3,5959.607,5809.773,6172.309,7424,true
before,read_insert_literal,1,6212.906,6212.906,6212.906,8048,true
current,read_insert_literal,5,1230.572,1180.111,1405.673,800,true
baseline,read_insert_multiple,5,3860.384,3594.923,4221.924,6208,true
baseline-control,read_insert_multiple,3,3694.639,3585.217,3768.481,6208,true
before,read_insert_multiple,1,4137.774,4137.774,4137.774,7216,true
current,read_insert_multiple,5,797.527,766.499,908.471,664,true
baseline,read_insert_mutation,5,313.362,302.119,322.53,520,true
baseline-control,read_insert_mutation,3,306.508,303.52,320.108,520,true
before,read_insert_mutation,1,315.951,315.951,315.951,712,true
current,read_insert_mutation,5,264.503,255.356,294.861,200,true
baseline,read_insert_mysql_dash,5,321.021,314.983,349.501,544,true
baseline-control,read_insert_mysql_dash,3,330.706,320.208,333.768,544,true
before,read_insert_mysql_dash,1,330.381,330.381,330.381,736,true
current,read_insert_mysql_dash,5,299.814,292.206,349.773,400,true
baseline,read_insert_quoted_large,5,368426.23,355545.763,403070.588,110528,true
baseline-control,read_insert_quoted_large,3,351295.082,350093.333,358057.627,110528,true
before,read_insert_quoted_large,1,414588.235,414588.235,414588.235,251280,true
current,read_insert_quoted_large,5,11494.118,10862.477,14735.175,26864,true
baseline,read_insert_simple,5,11347.926,11097.571,12757.203,16928,true
baseline-control,read_insert_simple,3,11566.483,11517.762,12415.436,16928,true
before,read_insert_simple,1,13829.172,13829.172,13829.172,20816,true
current,read_insert_simple,5,2279.379,2235.253,2610.944,1472,true
baseline,read_insert_upsert,5,1990.642,1914.81,2086.976,2696,true
baseline-control,read_insert_upsert,3,1958.022,1943.223,2042.124,2696,true
before,read_insert_upsert,1,2355.566,2355.566,2355.566,3368,true
current,read_insert_upsert,5,1856.341,1823.561,2063.305,1296,true
baseline,read_large,5,155482.759,152949.351,172109.15,140992,true
baseline-control,read_large,3,152497.917,152333.333,159032.886,140992,true
before,read_large,1,207803.738,207803.738,207803.738,236816,true
current,read_large,5,47594.14,46305.009,52286.614,27248,true
baseline,read_literal,5,3668.133,3460.395,3695.71,4032,true
baseline-control,read_literal,3,3426.489,3413.696,3595.799,4032,true
before,read_literal,1,4146.583,4146.583,4146.583,5424,true
current,read_literal,5,879.715,866.244,1055.733,720,true
baseline,read_multiple,5,2450.581,2333.924,2549.027,4352,true
baseline-control,read_multiple,3,2432.111,2426.639,2516.091,4352,true
before,read_multiple,1,2840.99,2840.99,2840.99,5360,true
current,read_multiple,5,602.18,596.543,639.883,584,true
baseline,read_mutation,5,302.254,299.321,323.638,520,true
baseline-control,read_mutation,3,307.576,300.299,310.057,520,true
before,read_mutation,1,308.36,308.36,308.36,712,true
current,read_mutation,5,261.391,252.68,296.313,200,true
baseline,read_mysql_dash,5,322.742,316.329,330.631,544,true
baseline-control,read_mysql_dash,3,315.603,314.686,328.134,544,true
before,read_mysql_dash,1,325.737,325.737,325.737,736,true
current,read_mysql_dash,5,302.348,291.039,334.517,400,true
baseline,read_quoted_large,5,264209.333,248427.16,300081.159,107904,true
baseline-control,read_quoted_large,3,267631.081,263880.822,270543.836,107904,true
before,read_quoted_large,1,329501.538,329501.538,329501.538,248656,true
current,read_quoted_large,5,10726.923,10155.411,12161.88,26784,true
baseline,read_simple,5,5804.582,5641.646,6078.887,7392,true
baseline-control,read_simple,3,5752.15,5737.619,6160.05,7392,true
before,read_simple,1,7700.979,7700.979,7700.979,11280,true
current,read_simple,5,1674.93,1631.49,1806.358,1392,true
baseline,read_upsert,5,140.145,138.535,155.434,344,true
baseline-control,read_upsert,3,140.264,140.168,143.299,344,true
before,read_upsert,1,160.036,160.036,160.036,440,true
current,read_upsert,5,12.473,11.996,13.51,0,true
baseline,select_ambiguous,5,427.324,422.832,463.854,1056,true
baseline-control,select_ambiguous,3,429.794,429.309,449.739,1056,true
before,select_ambiguous,1,462.031,462.031,462.031,1296,true
current,select_ambiguous,5,383.036,351.917,426.358,1008,true
baseline,select_cte,5,2546.092,2469.311,2673.568,4896,true
baseline-control,select_cte,3,2602.531,2547.719,2612.207,4896,true
before,select_cte,1,2607.158,2607.158,2607.158,4944,true
current,select_cte,5,565.762,561.376,613.623,1080,true
baseline,select_parenthesized,5,449.531,419.688,457.937,896,true
baseline-control,select_parenthesized,3,440.065,434.253,453.212,896,true
before,select_parenthesized,1,460.83,460.83,460.83,1136,true
current,select_parenthesized,5,96.628,94.845,113.065,48,true
baseline,select_quotes,5,408.989,392.302,451.986,960,true
baseline-control,select_quotes,3,413.483,393.322,425.513,960,true
before,select_quotes,1,431.835,431.835,431.835,1200,true
current,select_quotes,5,108.276,106.769,116.145,192,true
baseline,select_simple,5,607.282,578.873,654.528,1440,true
baseline-control,select_simple,3,605.328,604.196,606.456,1440,true
before,select_simple,1,650.049,650.049,650.049,1680,true
current,select_simple,5,160.396,154.639,178.55,48,true
baseline,tokenize_array,5,10418.222,9728.469,12486.115,4248,true
baseline-control,tokenize_array,3,10267.692,9799.406,11538.287,4248,true
before,tokenize_array,1,2762.476,2762.476,2762.476,4248,true
current,tokenize_array,5,709.017,638.341,725.454,3208,true
baseline,tokenize_backslashes,5,329.92,314.429,359.916,488,true
baseline-control,tokenize_backslashes,3,312.555,308.585,344.095,488,true
before,tokenize_backslashes,1,279.042,279.042,279.042,488,true
current,tokenize_backslashes,5,194.849,164.857,217.181,344,true
baseline,tokenize_comments,5,3184.88,3159.182,3575.284,2464,true
baseline-control,tokenize_comments,3,3394.334,3236.315,3457.487,2464,true
before,tokenize_comments,1,1305.738,1305.738,1305.738,2464,true
current,tokenize_comments,5,1119.928,959.613,1321.681,736,true
baseline,tokenize_custom,5,1424.806,1369.554,1637.129,600,true
baseline-control,tokenize_custom,3,1482.293,1427.544,1502.312,600,true
before,tokenize_custom,1,398.647,398.647,398.647,632,true
current,tokenize_custom,5,327.598,292.221,412.839,392,true
baseline,tokenize_hash_identifiers,5,58781.395,58499.042,62258.252,65528,true
baseline-control,tokenize_hash_identifiers,3,56912.813,56867.953,57363.661,65528,true
before,tokenize_hash_identifiers,1,8022.882,8022.882,8022.882,16576,true
current,tokenize_hash_identifiers,5,7022.201,6642.501,8073.865,1984,true
baseline,tokenize_hash_rows,5,1882550,1683391.667,1953309.091,331144,true
baseline-control,tokenize_hash_rows,3,1723266.667,1706816.667,1891954.545,331144,true
before,tokenize_hash_rows,1,9557.53,9557.53,9557.53,5768,true
current,tokenize_hash_rows,5,9266.778,8522.835,12646.875,3176,true
baseline,tokenize_keep_comments,5,4430.314,4222.557,4603.495,3504,true
baseline-control,tokenize_keep_comments,3,4481.453,4347.609,4504.341,3504,true
before,tokenize_keep_comments,1,2445.404,2445.404,2445.404,3504,true
current,tokenize_keep_comments,5,1317.24,1149.174,1517.727,1776,true
baseline,tokenize_large,5,53204.884,51953.472,61328.682,38120,true
baseline-control,tokenize_large,3,55050.259,51788.564,57543.548,38120,true
before,tokenize_large,1,27434.206,27434.206,27434.206,38120,true
current,tokenize_large,5,23166.352,19676.749,24780.906,27112,true
baseline,tokenize_long_quote,5,44090.587,40513.433,49492.381,17672,true
baseline-control,tokenize_long_quote,3,42088.508,41268.654,49131.67,17672,true
before,tokenize_long_quote,1,11537.164,11537.164,11537.164,17672,true
current,tokenize_long_quote,5,1134.579,1012.631,1188.484,9920,true
baseline,tokenize_mybatis,5,5559.432,5198.749,6024.865,5752,true
baseline-control,tokenize_mybatis,3,5338.266,5114.915,5791.726,5752,true
before,tokenize_mybatis,1,3388.06,3388.06,3388.06,5800,true
current,tokenize_mybatis,5,2564.79,2232.935,2696.957,3496,true
baseline,tokenize_simple,5,1147.63,1124.605,1303.205,1216,true
baseline-control,tokenize_simple,3,1155.139,1109.653,1218.229,1216,true
before,tokenize_simple,1,725.428,725.428,725.428,1216,true
current,tokenize_simple,5,582.309,512.943,677.599,976,true
baseline,tokenize_tiny,5,105.395,97.167,106.995,200,true
baseline-control,tokenize_tiny,3,99.017,96.425,106.579,200,true
before,tokenize_tiny,1,96.27,96.27,96.27,200,true
current,tokenize_tiny,5,62.08,53.256,67.728,152,true
baseline,tokenize_unicode,5,713.267,702.063,757.011,1088,true
baseline-control,tokenize_unicode,3,714.34,692.657,740.189,1088,true
before,tokenize_unicode,1,491.959,491.959,491.959,1168,true
current,tokenize_unicode,5,374.566,322.722,417.849,848,true
baseline,walk_bounds_comments,5,4429.447,2576.471,4638.556,0,true
baseline-control,walk_bounds_comments,3,4474.512,4460.52,4537.47,0,true
before,walk_bounds_comments,1,1022.773,1022.773,1022.773,1920,true
current,walk_bounds_comments,5,810.834,804.472,983.181,0,true
baseline,walk_bounds_hash,5,120209.202,117204.268,127859.2,127008,true
baseline-control,walk_bounds_hash,3,116754.444,114087.861,118090.351,127008,true
before,walk_bounds_hash,1,21153.635,21153.635,21153.635,43968,true
current,walk_bounds_hash,5,18979.141,17463.316,21169.362,7584,true
baseline,walk_bounds_large,5,64158.484,36939.162,66821.262,0,true
baseline-control,walk_bounds_large,3,64227.215,63804.334,64635.22,0,true
before,walk_bounds_large,1,16223.839,16223.839,16223.839,24768,true
current,walk_bounds_large,5,15462.215,15259.163,16991.413,0,true
baseline,walk_bounds_simple,5,1182.676,777.994,1295.136,0,true
baseline-control,walk_bounds_simple,3,1186.561,1167.738,1236.404,0,true
before,walk_bounds_simple,1,423.797,423.797,423.797,816,true
current,walk_bounds_simple,5,385.61,382.171,455.095,0,true
baseline,walk_tokens_comments,5,9477.435,7940.799,9787.26,1920,true
baseline-control,walk_tokens_comments,3,9409.977,8123.628,9944.185,1920,true
before,walk_tokens_comments,1,3136.709,3136.709,3136.709,5760,true
current,walk_tokens_comments,5,1767.527,1692.851,1964.624,192,true
baseline,walk_tokens_hash,5,245819.048,235235.714,276376.471,255456,true
baseline-control,walk_tokens_hash,3,234701.163,233620.455,241251.685,255456,true
before,walk_tokens_hash,1,45330.58,45330.58,45330.58,89376,true
current,walk_tokens_hash,5,38519.372,35089.418,41674.301,15936,true
baseline,walk_tokens_large,5,137381.633,115426.437,140306.04,25792,true
baseline-control,walk_tokens_large,3,135766.667,124355,144745.39,25792,true
before,walk_tokens_large,1,53420.681,53420.681,53420.681,75328,true
current,walk_tokens_large,5,33493.008,32640.394,37756.24,13504,true
baseline,walk_tokens_simple,5,2664.54,2477.247,2816.431,816,true
baseline-control,walk_tokens_simple,3,2672.154,2609.688,2885.497,816,true
before,walk_tokens_simple,1,1467.038,1467.038,1467.038,2448,true
current,walk_tokens_simple,5,868.68,854.317,972.09,576,true
