version,case,fork,ns,bytes
baseline-control,walk_tokens_comments,3,9944.185,1920
baseline-control,index_near_matches,1,2344130,3275376
baseline-control,index_near_matches,2,2115840,3275376
baseline-control,index_near_matches,3,2178270,3275376
baseline-control,index_from_inside_quote,1,336.127,464
baseline-control,index_from_inside_quote,2,332.018,464
baseline-control,index_from_inside_quote,3,327.096,464
baseline-control,end_custom,1,215.65,0
baseline-control,end_custom,2,210.154,0
baseline-control,end_custom,3,210.989,0
baseline-control,next_empty,1,56.023,0
baseline-control,next_empty,2,40.463,0
baseline-control,next_empty,3,57.809,0
baseline-control,read_mutation,1,307.576,520
baseline-control,read_mutation,2,310.057,520
baseline-control,read_mutation,3,300.299,520
baseline-control,classify_insert,1,382.7,896
baseline-control,classify_insert,2,385.64,896
baseline-control,classify_insert,3,368.69,896
baseline-control,walk_tokens_simple,1,2672.154,816
baseline-control,walk_tokens_simple,2,2609.688,816
baseline-control,walk_tokens_simple,3,2885.497,816
baseline-control,read_large,1,159032.886,140992
baseline-control,read_large,2,152333.333,140992
baseline-control,read_large,3,152497.917,140896
baseline-control,tokenize_tiny,1,106.579,200
baseline-control,tokenize_tiny,2,96.425,200
baseline-control,tokenize_tiny,3,99.017,200
baseline-control,walk_bounds_hash,1,116754.444,127008
baseline-control,walk_bounds_hash,2,118090.351,127008
baseline-control,walk_bounds_hash,3,114087.861,127008
baseline-control,index_custom_separator,1,1522.773,968
baseline-control,index_custom_separator,2,1463.662,968
baseline-control,index_custom_separator,3,1468.16,968
baseline-control,select_parenthesized,1,453.212,896
baseline-control,select_parenthesized,2,440.065,896
baseline-control,select_parenthesized,3,434.253,896
baseline-control,read_insert_mysql_dash,1,333.768,544
baseline-control,read_insert_mysql_dash,2,330.706,544
baseline-control,read_insert_mysql_dash,3,320.208,544
baseline-control,index_custom_composite,1,1174.352,792
baseline-control,index_custom_composite,2,1182.966,792
baseline-control,index_custom_composite,3,1198.087,792
baseline-control,select_simple,1,606.456,1440
baseline-control,select_simple,2,604.196,1440
baseline-control,select_simple,3,605.328,1440
baseline-control,classify_replace,1,128.701,192
baseline-control,classify_replace,2,124.668,192
baseline-control,classify_replace,3,131.562,192
baseline-control,read_insert_upsert,1,2042.124,2696
baseline-control,read_insert_upsert,2,1958.022,2696
baseline-control,read_insert_upsert,3,1943.223,2696
baseline-control,read_executable_comment,1,112.866,248
baseline-control,read_executable_comment,2,111.702,248
baseline-control,read_executable_comment,3,111.39,248
baseline-control,index_quoted,1,51832.512,17664
baseline-control,index_quoted,2,72191.197,17664
baseline-control,index_quoted,3,56828.532,17664
baseline-control,walk_tokens_hash,1,241251.685,255456
baseline-control,walk_tokens_hash,2,234701.163,255456
baseline-control,walk_tokens_hash,3,233620.455,255456
baseline-control,walk_tokens_large,1,135766.667,25792
baseline-control,walk_tokens_large,2,124355,25792
baseline-control,walk_tokens_large,3,144745.39,25792
baseline-control,read_insert_large,1,312429.412,357376
baseline-control,read_insert_large,2,301318.571,357376
baseline-control,read_insert_large,3,298972.727,357376
baseline-control,read_insert,1,95.337,224
baseline-control,read_insert,2,91.808,224
baseline-control,read_insert,3,90.921,224
baseline-control,read_insert_simple,1,12415.436,16928
baseline-control,read_insert_simple,2,11566.483,16928
baseline-control,read_insert_simple,3,11517.762,16928
baseline-control,tokenize_hash_identifiers,1,57363.661,65528
baseline-control,tokenize_hash_identifiers,2,56912.813,65528
baseline-control,tokenize_hash_identifiers,3,56867.953,65528
baseline-control,end_empty,1,35.802,0
baseline-control,end_empty,2,35.228,0
baseline-control,end_empty,3,34.889,0
baseline-control,config_default,1,2777.203,9880
baseline-control,config_default,2,2639.141,9880
baseline-control,config_default,3,2919.011,9880
baseline-control,tokenize_long_quote,1,49131.67,17672
baseline-control,tokenize_long_quote,2,42088.508,17672
baseline-control,tokenize_long_quote,3,41268.654,17672
baseline-control,read_insert_comments,1,36855.493,33664
baseline-control,read_insert_comments,2,34510.368,33664
baseline-control,read_insert_comments,3,34643.813,33664
baseline-control,read_mysql_dash,1,328.134,544
baseline-control,read_mysql_dash,2,314.686,544
