version,fork,shape,size,ns,bytes,count,equivalent
before,1,join_named,4,5610.107,5008,4,true
before,1,cached_positional_same,2,12.513,0,2,true
before,1,cached_positional_equal,2,16.415,0,2,true
before,1,cached_named_same,2,12.231,0,2,true
before,1,cached_named_equal,2,15.763,0,2,true
before,2,array_named,8192,704600,1178932,8192,true
before,2,where_mybatis,16,18799.170,25368,16,true
before,2,deep_unary,8192,2467650,1209356,1,true
before,2,bare_concat,256,33878.125,13512,256,true
before,2,deep_unary,1024,315062.500,147760,1,true
before,2,where_positional,128,105064.258,42632,128,true
before,2,where_positional,16,14518.408,6128,16,true
before,2,array_named,256,19500,30168,256,true
before,2,quoted_and_comments,2,2895.996,1608,2,true
before,2,join_mybatis,4,7567.090,8616,4,true
before,2,where_named,16,12309.082,11552,16,true
before,2,deep_unary,256,80684.375,38384,1,true
before,2,json_operator,1,2445.605,1536,1,true
before,2,jdbc_escape,1,2559.229,1584,1,true
before,2,array_named,4096,322400,510400,4096,true
before,2,array_mybatis,1024,239612.500,316088,1024,true
before,2,array_positional,1024,228462.500,418688,1024,true
before,2,array_mybatis,256,55503.125,65544,256,true
before,2,array_mybatis,8192,1881400,2745516,8192,true
before,2,bare_concat,4096,484950,203160,4096,true
before,2,where_named,2,2187.793,2384,2,true
before,2,geometric_cast,1,2287.305,1400,1,true
before,2,array_mybatis,4096,962600,1272216,4096,true
before,2,join_positional,4,8640.186,4312,4,true
before,2,array_named,1024,75337.500,122336,1024,true
before,2,array_positional,8192,1690900,3567740,8192,true
before,2,where_mybatis,2,3144.189,4008,2,true
before,2,bare_concat,1024,120375,61056,1024,true
before,2,deep_unary,4096,1240250,585168,1,true
before,2,bare_concat,8192,947550,575580,8192,true
before,2,no_parameters,0,1377.197,1400,0,true
before,2,array_positional,4096,866000,1613680,4096,true
before,2,where_positional,2,2907.666,1872,2,true
before,2,join_named,4,5953.613,5008,4,true
before,2,array_positional,256,54153.125,101168,256,true
before,2,json_constructor,1,2445.215,1576,1,true
before,2,cached_positional_same,2,12.487,0,2,true
before,2,cached_positional_equal,2,16.050,0,2,true
before,2,cached_named_same,2,12.151,0,2,true
before,2,cached_named_equal,2,15.816,0,2,true
before,3,deep_unary,256,81850,38384,1,true
before,3,array_named,4096,337650,510400,4096,true
before,3,quoted_and_comments,2,2907.422,1608,2,true
before,3,array_named,1024,81762.500,122336,1024,true
before,3,geometric_cast,1,2383.496,1400,1,true
before,3,where_positional,128,103706.104,42632,128,true
before,3,array_named,256,19356.250,30168,256,true
before,3,array_mybatis,1024,239212.500,316088,1024,true
before,3,no_parameters,0,1410.693,1400,0,true
before,3,json_operator,1,2496.631,1536,1,true
before,3,where_mybatis,16,18380.273,25368,16,true
before,3,array_positional,256,55950,101168,256,true
before,3,array_mybatis,256,57237.500,65544,256,true
before,3,deep_unary,4096,1254500,585168,1,true
before,3,where_positional,16,14650.293,6128,16,true
before,3,bare_concat,256,33353.125,13512,256,true
before,3,json_constructor,1,2447.363,1576,1,true
before,3,where_named,16,11928.613,11552,16,true
before,3,array_mybatis,4096,947750,1272216,4096,true
before,3,array_positional,8192,1826300,3567740,8192,true
before,3,bare_concat,1024,124862.500,61056,1024,true
before,3,where_named,2,2197.607,2384,2,true
before,3,join_positional,4,8534.570,4312,4,true
before,3,deep_unary,8192,2478350,1209356,1,true
before,3,deep_unary,1024,312275,149813,1,true
before,3,array_named,8192,674050,1178932,8192,true
before,3,array_positional,1024,229800,418688,1024,true
before,3,join_mybatis,4,7470.996,8616,4,true
before,3,bare_concat,4096,488300,203160,4096,true
before,3,join_named,4,5800.586,5008,4,true
before,3,where_positional,2,2995.605,1872,2,true
before,3,jdbc_escape,1,2564.404,1584,1,true
before,3,array_positional,4096,888100,1613680,4096,true
before,3,bare_concat,8192,959000,575580,8192,true
before,3,where_mybatis,2,3096.045,4008,2,true
before,3,array_mybatis,8192,1936600,2745516,8192,true
before,3,cached_positional_same,2,12.445,0,2,true
before,3,cached_positional_equal,2,15.988,0,2,true
