version,fork,shape,size,ns,bytes,count,equivalent
before,4,join_mybatis,4,7499.316,8616,4,true
before,4,join_positional,4,8643.652,4312,4,true
before,4,deep_unary,1024,313687.500,147760,1,true
before,4,where_positional,16,14782.861,6128,16,true
before,4,json_constructor,1,2466.455,1576,1,true
before,4,no_parameters,0,1385.840,1400,0,true
before,4,array_mybatis,8192,1945700,2745516,8192,true
before,4,join_named,4,5823.633,5008,4,true
before,4,deep_unary,4096,1229650,585168,1,true
before,4,quoted_and_comments,2,2872.852,1608,2,true
before,4,array_mybatis,1024,233687.500,316088,1024,true
before,4,json_operator,1,2413.086,1536,1,true
before,4,where_named,16,11961.426,11552,16,true
before,4,where_positional,128,104122.168,42632,128,true
before,4,deep_unary,256,80984.375,38384,1,true
before,4,jdbc_escape,1,2567.090,1584,1,true
before,4,array_positional,1024,230287.500,418688,1024,true
before,4,where_positional,2,2885.010,1872,2,true
before,4,array_named,256,18940.625,30168,256,true
before,4,where_mybatis,2,3082.373,4008,2,true
before,4,array_positional,8192,1842550,3567740,8192,true
before,4,bare_concat,8192,927100,575580,8192,true
before,4,array_mybatis,4096,906150,1280428,4096,true
before,4,bare_concat,1024,118175,61056,1024,true
before,4,bare_concat,4096,461100,203160,4096,true
before,4,where_mybatis,16,18484.082,25368,16,true
before,4,array_mybatis,256,55834.375,65544,256,true
before,4,array_positional,4096,826950,1613680,4096,true
before,4,where_named,2,2187.109,2384,2,true
before,4,deep_unary,8192,2475500,1209356,1,true
before,4,cached_positional_same,2,12.122,0,2,true
before,4,cached_positional_equal,2,15.434,0,2,true
before,4,cached_named_same,2,11.704,0,2,true
before,4,cached_named_equal,2,15.185,0,2,true
before,5,deep_unary,1024,318025,147760,1,true
before,5,no_parameters,0,1426.074,1400,0,true
before,5,array_positional,1024,229425,418688,1024,true
before,5,where_positional,2,2980.078,1872,2,true
before,5,array_mybatis,4096,919650,1272216,4096,true
before,5,array_named,256,18453.125,30168,256,true
before,5,where_named,2,2209.570,2384,2,true
before,5,array_named,8192,691450,1178932,8192,true
before,5,array_positional,256,54950,101168,256,true
before,5,deep_unary,8192,2543650,1209356,1,true
before,5,where_mybatis,2,3010.303,4008,2,true
before,5,json_constructor,1,2491.113,1576,1,true
before,5,join_named,4,5680.762,5008,4,true
before,5,deep_unary,256,82712.500,38384,1,true
before,5,where_positional,128,106109.033,42632,128,true
before,5,array_mybatis,8192,1906100,2745516,8192,true
before,5,bare_concat,256,31862.500,14025.250,256,true
before,5,bare_concat,8192,967800,575580,8192,true
before,5,where_mybatis,16,18830.371,25368,16,true
before,5,array_named,4096,336900,510400,4096,true
before,5,join_positional,4,8810.449,4312,4,true
before,5,bare_concat,4096,487600,203160,4096,true
before,5,where_named,16,11948.047,11552,16,true
before,5,jdbc_escape,1,2589.063,1584,1,true
before,5,quoted_and_comments,2,3043.945,1608,2,true
before,5,array_mybatis,1024,235587.500,316088,1024,true
before,5,geometric_cast,1,2187.744,1400,1,true
before,5,array_mybatis,256,56018.750,65544,256,true
before,5,array_positional,8192,1746050,3567740,8192,true
before,5,where_positional,16,14645.020,6128,16,true
before,5,bare_concat,1024,124787.500,61056,1024,true
before,5,array_positional,4096,904650,1613680,4096,true
