version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
current,read_mutation,5,278.646,259.816,345.628,200,true
baseline,read_mysql_dash,5,354.422,347.809,370.085,544,true
baseline-control,read_mysql_dash,3,379.855,345.519,431.48,544,true
before,read_mysql_dash,1,396.008,396.008,396.008,736,true
current,read_mysql_dash,5,326.089,297.954,459.283,400,true
baseline,read_quoted_large,5,280333.333,266055.932,334850,107904,true
baseline-control,read_quoted_large,3,314037.5,275856.716,331617.308,107904,true
before,read_quoted_large,1,362387.755,362387.755,362387.755,248656,true
current,read_quoted_large,5,10736.202,10415.581,14084.228,26784,true
baseline,read_simple,5,6180.525,5987.664,6291.67,7392,true
baseline-control,read_simple,3,6034.237,5564.095,6052.33,7392,true
before,read_simple,1,8973.595,8973.595,8973.595,11280,true
current,read_simple,5,1828.595,1602.182,2037.45,1392,true
baseline,read_upsert,5,152.77,146.941,178.11,344,true
baseline-control,read_upsert,3,187.797,151.171,191.331,344,true
before,read_upsert,1,156.875,156.875,156.875,440,true
current,read_upsert,5,14.049,12.669,19.9,0,true
baseline,select_ambiguous,5,468.644,443.507,511.458,1056,true
baseline-control,select_ambiguous,3,548.742,438.577,557.286,1056,true
before,select_ambiguous,1,493.831,493.831,493.831,1296,true
current,select_ambiguous,5,467.36,405.906,509.342,1008,true
baseline,select_cte,5,2652.051,2525.306,3611.67,4896,true
baseline-control,select_cte,3,2916.8,2710.268,2967.897,4896,true
before,select_cte,1,3016.896,3016.896,3016.896,4944,true
current,select_cte,5,628.305,607.511,686.458,1080,true
baseline,select_parenthesized,5,466.245,444.962,482.466,896,true
baseline-control,select_parenthesized,3,476.564,459.763,502.772,896,true
before,select_parenthesized,1,498.888,498.888,498.888,1136,true
current,select_parenthesized,5,104.526,102.082,109.85,48,true
baseline,select_quotes,5,472.264,407.369,543.355,960,true
baseline-control,select_quotes,3,425.835,424.845,512.136,960,true
before,select_quotes,1,553.039,553.039,553.039,1200,true
current,select_quotes,5,129.046,113.578,153.856,192,true
baseline,select_simple,5,645.95,617.671,702.838,1440,true
baseline-control,select_simple,3,655.366,620.697,1019.231,1440,true
before,select_simple,1,682.735,682.735,682.735,1680,true
