version,case,fork,ns,bytes
baseline,next_quote,2,28422.523,8760
baseline,next_quote,3,31185.338,8760
baseline,next_quote,4,27350,8760
baseline,next_quote,5,18555.811,8760
baseline,tokenize_custom,1,2030.118,600
baseline,tokenize_custom,2,1901.893,600
baseline,tokenize_custom,3,1550.705,600
baseline,tokenize_custom,4,1448.846,600
baseline,tokenize_custom,5,2144.501,600
baseline,classify_delete,1,509.532,960
baseline,classify_delete,2,446.441,960
baseline,classify_delete,3,477.198,960
baseline,classify_delete,4,408.397,960
baseline,classify_delete,5,391.374,960
baseline,next_empty,1,69.495,0
baseline,next_empty,2,50.375,0
baseline,next_empty,3,62.021,0
baseline,next_empty,4,45.855,0
baseline,next_empty,5,65.541,0
baseline,tokenize_hash_rows,1,2103481.818,331144
baseline,tokenize_hash_rows,2,1509652.941,331144
baseline,tokenize_hash_rows,3,2080183.333,331144
baseline,tokenize_hash_rows,4,1762141.667,331144
baseline,tokenize_hash_rows,5,1903781.818,331144
baseline,read_insert_executable_comment,1,121.774,248
baseline,read_insert_executable_comment,2,131.951,248
baseline,read_insert_executable_comment,3,125.324,248
baseline,read_insert_executable_comment,4,130.102,248
baseline,read_insert_executable_comment,5,123.36,248
baseline,read_upsert,1,149.681,344
baseline,read_upsert,2,152.77,344
baseline,read_upsert,3,178.11,344
baseline,read_upsert,4,153.198,344
baseline,read_upsert,5,146.941,344
baseline,walk_tokens_large,1,98619.469,25792
baseline,walk_tokens_large,2,124362.987,25792
baseline,walk_tokens_large,3,186938.655,25792
baseline,walk_tokens_large,4,147642.857,25792
baseline,walk_tokens_large,5,86061.622,25792
baseline,end_word,1,38.784,0
baseline,end_word,2,38.994,0
baseline,end_word,3,63.914,0
baseline,end_word,4,37.074,0
baseline,end_word,5,40.754,0
baseline,read_quoted_large,1,280333.333,107904
baseline,read_quoted_large,2,278095.745,107904
baseline,read_quoted_large,3,300130.769,107808
baseline,read_quoted_large,4,334850,107904
baseline,read_quoted_large,5,266055.932,107904
baseline,walk_tokens_comments,1,7390.903,1920
baseline,walk_tokens_comments,2,8803.037,1920
baseline,walk_tokens_comments,3,10866.271,1920
baseline,walk_tokens_comments,4,9989.733,1920
baseline,walk_tokens_comments,5,6440.575,1920
baseline,read_hash,1,1621188.889,1534112
baseline,read_hash,2,1730550,1534112
baseline,read_hash,3,1705321.429,1534016
baseline,read_hash,4,1772775,1534112
baseline,read_hash,5,1624792.308,1534112
baseline,tokenize_long_quote,1,48475.886,17672
baseline,tokenize_long_quote,2,49336.848,17672
baseline,tokenize_long_quote,3,49056.609,17672
baseline,tokenize_long_quote,4,46475.66,17672
baseline,tokenize_long_quote,5,43841.704,17672
baseline,end_trivia,1,85.084,0
baseline,end_trivia,2,78.982,0
baseline,end_trivia,3,108.544,0
baseline,end_trivia,4,90.742,0
baseline,end_trivia,5,79.668,0
baseline,walk_bounds_large,1,42079.545,0
baseline,walk_bounds_large,2,36520.26,0
baseline,walk_bounds_large,3,85432.616,0
baseline,walk_bounds_large,4,69613.846,0
baseline,walk_bounds_large,5,36233.521,0
baseline,end_custom,1,127.456,0
baseline,end_custom,2,111.485,0
baseline,end_custom,3,239.791,0
baseline,end_custom,4,222.436,0
baseline,end_custom,5,107.02,0
baseline-control,read_insert_literal,1,6103.35,7424
baseline-control,read_insert_literal,2,7571.712,7424
baseline-control,read_insert_literal,3,5864.795,7424
baseline-control,end_quote,1,8462.577,0
baseline-control,end_quote,2,8612.486,0
baseline-control,end_quote,3,7903.923,0
baseline-control,classify_insert,1,405.948,896
baseline-control,classify_insert,2,399.572,896
baseline-control,classify_insert,3,377.14,896
baseline-control,select_cte,1,2710.268,4896
baseline-control,select_cte,2,2967.897,4896
baseline-control,select_cte,3,2916.8,4896
baseline-control,index_near_matches,1,2470100,3275376
baseline-control,index_near_matches,2,2705244.444,3287712
baseline-control,index_near_matches,3,2521444.444,3275376
baseline-control,index_early,1,185.938,120
baseline-control,index_early,2,182.573,120
baseline-control,index_early,3,182.847,120
baseline-control,read_insert_quoted_large,1,374331.818,110528
baseline-control,read_insert_quoted_large,2,404421.154,110528
baseline-control,read_insert_quoted_large,3,401155.738,110528
baseline-control,read_insert_simple,1,12700.968,16928
baseline-control,read_insert_simple,2,15751.746,16928
baseline-control,read_insert_simple,3,11481.635,16928
baseline-control,read_insert,1,102.225,224
baseline-control,read_insert,2,104.725,224
baseline-control,read_insert,3,103.119,224
baseline-control,read_cte,1,16918.169,20064
baseline-control,read_cte,2,15623.664,20064
baseline-control,read_cte,3,21283.923,20064
baseline-control,tokenize_dense_concat_8192,1,493697.015,61720
baseline-control,tokenize_dense_concat_8192,2,313122.449,61720
baseline-control,tokenize_dense_concat_8192,3,489705.97,61720
baseline-control,read_insert_hash,1,2443966.667,2562784
baseline-control,read_insert_hash,2,2929066.667,2562784
baseline-control,read_insert_hash,3,2749122.222,2562784
baseline-control,next_trivia,1,113.643,48
baseline-control,next_trivia,2,122.082,48
baseline-control,next_trivia,3,129.356,48
baseline-control,index_late,1,123400.87,64616
baseline-control,index_late,2,152988.382,77024
baseline-control,index_late,3,144779.565,64616
baseline-control,read_insert_comments,1,45531.285,33664
baseline-control,read_insert_comments,2,40395.869,33664
baseline-control,read_insert_comments,3,36183.737,33664
baseline-control,read_comments,1,19800.513,16448
baseline-control,read_comments,2,21086.713,16448
baseline-control,read_comments,3,21446.371,16448
baseline-control,read_insert_insert,1,4945.873,7168
baseline-control,read_insert_insert,2,4737.169,7168
baseline-control,read_insert_insert,3,4619.526,7168
baseline-control,read_simple,1,6052.33,7392
baseline-control,read_simple,2,6034.237,7392
baseline-control,read_simple,3,5564.095,7392
baseline-control,index_quoted,1,68341.875,17664
baseline-control,index_quoted,2,65659.821,17688
baseline-control,index_quoted,3,73588.498,17664
baseline-control,classify_update,1,445.26,864
baseline-control,classify_update,2,386.633,864
baseline-control,classify_update,3,419.215,864
baseline-control,read_insert_mysql_dash,1,434.376,544
baseline-control,read_insert_mysql_dash,2,361.132,544
baseline-control,read_insert_mysql_dash,3,326.562,544
baseline-control,select_ambiguous,1,548.742,1056
baseline-control,select_ambiguous,2,557.286,1056
baseline-control,select_ambiguous,3,438.577,1056
baseline-control,select_parenthesized,1,459.763,896
baseline-control,select_parenthesized,2,502.772,896
baseline-control,select_parenthesized,3,476.564,896
baseline-control,read_large,1,161336.184,140992
baseline-control,read_large,2,172394.406,140992
baseline-control,read_large,3,182789.109,140992
baseline-control,read_multiple,1,3495.956,4352
baseline-control,read_multiple,2,2631,4352
baseline-control,read_multiple,3,2753.034,4352
baseline-control,next_custom,1,237.38,48
baseline-control,next_custom,2,197.816,48
baseline-control,next_custom,3,232.657,48
baseline-control,next_word,1,84.008,48
baseline-control,next_word,2,94.328,48
baseline-control,next_word,3,82.025,48
baseline-control,index_composite_comments,1,626.767,792
baseline-control,index_composite_comments,2,909.485,864
baseline-control,index_composite_comments,3,712.059,792
baseline-control,index_hash,1,121888.268,128880
baseline-control,index_hash,2,140235.593,129240
baseline-control,index_hash,3,127370.69,128880
baseline-control,tokenize_hash_identifiers,1,62453.333,65528
baseline-control,tokenize_hash_identifiers,2,66057.714,65528
baseline-control,tokenize_hash_identifiers,3,59108.116,65528
baseline-control,tokenize_backslashes,1,351.388,488
baseline-control,tokenize_backslashes,2,419.825,488
baseline-control,tokenize_backslashes,3,314.753,488
baseline-control,walk_bounds_comments,1,4636.925,0
baseline-control,walk_bounds_comments,2,5023.881,0
baseline-control,walk_bounds_comments,3,4879.281,0
baseline-control,read_executable_comment,1,122.004,248
baseline-control,read_executable_comment,2,114.571,248
baseline-control,read_executable_comment,3,114.093,248
baseline-control,read_insert_cte,1,25904.6,34976
baseline-control,read_insert_cte,2,27641.583,34976
baseline-control,read_insert_cte,3,25143.379,34976
baseline-control,read_literal,1,4994.484,4032
baseline-control,read_literal,2,3948.172,4032
baseline-control,read_literal,3,3580.555,4032
baseline-control,read_insert_mutation,1,357.363,520
baseline-control,read_insert_mutation,2,324.501,520
baseline-control,read_insert_mutation,3,312.765,520
baseline-control,walk_tokens_hash,1,253725.843,255456
baseline-control,walk_tokens_hash,2,282171.429,255456
baseline-control,walk_tokens_hash,3,249737.5,255456
baseline-control,config_default,1,2942.428,9880
baseline-control,config_default,2,3274.243,9880
baseline-control,config_default,3,3328.967,9880
baseline-control,read_insert_multiple,1,3966.464,6208
baseline-control,read_insert_multiple,2,5141.208,6208
baseline-control,read_insert_multiple,3,3620.492,6208
baseline-control,next_hash,1,521.957,336
baseline-control,next_hash,2,577.379,336
baseline-control,next_hash,3,515.004,336
baseline-control,read_insert_upsert,1,2058.468,2696
baseline-control,read_insert_upsert,2,2088.86,2696
baseline-control,read_insert_upsert,3,2637.535,2696
baseline-control,read_mysql_dash,1,431.48,544
baseline-control,read_mysql_dash,2,379.855,544
baseline-control,read_mysql_dash,3,345.519,544
baseline-control,walk_tokens_simple,1,3349.083,816
baseline-control,walk_tokens_simple,2,2820.259,816
baseline-control,walk_tokens_simple,3,3141.509,816
baseline-control,tokenize_dense_concat_4096,1,252256.716,31000
baseline-control,tokenize_dense_concat_4096,2,173368.367,31000
baseline-control,tokenize_dense_concat_4096,3,258933.065,31000
baseline-control,classify_replace,1,153.553,192
baseline-control,classify_replace,2,137.443,192
baseline-control,classify_replace,3,129.935,192
baseline-control,index_whitespace,1,96.516,72
baseline-control,index_whitespace,2,93.718,96
baseline-control,index_whitespace,3,82.454,72
baseline-control,tokenize_mybatis,1,6742.522,5752
baseline-control,tokenize_mybatis,2,5793.285,5752
baseline-control,tokenize_mybatis,3,6705.488,5752
baseline-control,end_hash,1,554.25,288
baseline-control,end_hash,2,500.933,288
baseline-control,end_hash,3,485.198,288
baseline-control,select_quotes,1,424.845,960
baseline-control,select_quotes,2,512.136,960
baseline-control,select_quotes,3,425.835,960
baseline-control,end_empty,1,42.076,0
baseline-control,end_empty,2,45.581,0
baseline-control,end_empty,3,36.67,0
baseline-control,select_simple,1,620.697,1440
baseline-control,select_simple,2,1019.231,1440
baseline-control,select_simple,3,655.366,1440
baseline-control,index_missing,1,65824.45,50728
baseline-control,index_missing,2,80243.355,63112
baseline-control,index_missing,3,63244.676,50728
baseline-control,tokenize_dense_concat_256,1,15972.84,2200
baseline-control,tokenize_dense_concat_256,2,13519.543,2200
baseline-control,tokenize_dense_concat_256,3,17948.018,2200
