version,fork,shape,size,median_ns,median_bytes,expected,min_count,max_count,semantic_match
baseline_common8,1,deep_unary,4096,948900,510648,1,1,1,true
baseline_common8,1,array_positional,256,3262.500,2617.250,256,0,0,false
baseline_common8,1,where_named,16,12338.086,7960,16,16,16,true
baseline_common8,1,bare_concat,1024,85512.500,11360,1024,1,1,false
baseline_common8,1,join_positional,4,5365.674,3824,4,4,4,true
baseline_common8,1,deep_unary,8192,1795000,1061092,1,1,1,true
baseline_common8,1,array_mybatis,4096,39555900,453545112,4096,4096,4096,true
baseline_common8,1,where_named,2,2051.660,1816,2,2,2,true
baseline_common8,1,array_mybatis,256,214721.875,1777536,256,256,256,true
baseline_common8,1,jdbc_escape,1,2153.760,1176,1,1,1,true
baseline_common8,1,bare_concat,8192,706450,127628,8192,1,1,false
baseline_common8,1,array_named,8192,594750,863844,8192,8192,8192,true
baseline_common8,1,deep_unary,1024,257750,128568,1,1,1,true
baseline_common8,1,bare_concat,4096,339450,43616,4096,1,1,false
baseline_common8,1,array_named,1024,64075,87088,1024,1024,1024,true
baseline_common8,1,join_mybatis,4,7217.920,5800,4,4,4,true
baseline_common8,1,json_operator,1,1632.275,1128,1,1,1,true
baseline_common8,1,where_mybatis,16,17830.713,14656,16,16,16,true
baseline_common8,1,join_named,4,5840.820,3968,4,4,4,true
baseline_common8,1,cached_positional_same,2,13.695,0,2,2,2,true
baseline_common8,1,cached_positional_equal,2,18.465,0,2,2,2,true
baseline_common8,1,cached_named_same,2,13.383,0,2,2,2,true
baseline_common8,1,cached_named_equal,2,18.047,0,2,2,2,true
baseline_common8,2,array_named,8192,526950,863844,8192,8192,8192,true
baseline_common8,2,where_mybatis,16,16095.850,14272,16,16,16,true
baseline_common8,2,deep_unary,8192,1704300,1061092,1,1,1,true
baseline_common8,2,bare_concat,256,20700,3296,256,1,1,false
baseline_common8,2,deep_unary,1024,213687.500,128568,1,1,1,true
baseline_common8,2,where_positional,128,76746.826,35904,128,128,128,true
baseline_common8,2,where_positional,16,10045.410,5224,16,16,16,true
baseline_common8,2,array_named,256,14975,22776,256,256,256,true
baseline_common8,2,quoted_and_comments,2,1754.736,1192,2,2,2,true
baseline_common8,2,join_mybatis,4,6890.625,5704,4,4,4,true
baseline_common8,2,where_named,16,11442.139,7960,16,16,16,true
