version,case,forks,median_ns,min_fork_ns,max_fork_ns,bytes_per_op,equivalent_results
baseline,positional_dialect_Microsoft_SQL_Server,5,1316.173,1229.545,1594.891,3544,true
before,positional_dialect_Microsoft_SQL_Server,5,1214.453,1209.391,1318.99,3616,true
current,positional_dialect_Microsoft_SQL_Server,5,1027.754,995.169,1061.289,2032,true
baseline,positional_dialect_MySQL,5,1060.987,1006.132,1295.717,3360,true
before,positional_dialect_MySQL,5,970.286,962.014,1033.867,3432,true
current,positional_dialect_MySQL,5,803.432,781.599,807.057,1848,true
baseline,positional_dialect_Oracle,5,1109.627,1057.243,1551.552,3496,true
before,positional_dialect_Oracle,5,1041.85,1021.995,1260.588,3616,true
current,positional_dialect_Oracle,5,850.13,830.973,892.832,2032,true
baseline,positional_dialect_PostgreSQL,5,1106.676,1058.624,1529.647,3360,true
before,positional_dialect_PostgreSQL,5,1025.166,1015.957,1105.24,3432,true
current,positional_dialect_PostgreSQL,5,856.754,782.754,894.4,1848,true
baseline,positional_group_order,5,3156.65,3054.729,3658.885,6336,true
before,positional_group_order,5,2169.419,2119.723,2314.499,6160,true
current,positional_group_order,5,1596.987,1515.127,1629.748,3112,true
baseline,positional_in_1024,5,14876.8,14026.563,16677.007,28504,true
before,positional_in_1024,5,14356.337,14163.1,15276.263,28584,true
current,positional_in_1024,5,6167.882,5682.574,7040.358,20800,true
baseline,positional_in_16,5,873.842,844.248,1036.635,2656,true
before,positional_in_16,5,812.545,799.964,831.029,2736,true
current,positional_in_16,5,708.108,695.313,720.582,1728,true
baseline,positional_in_17,5,862.471,817.539,1205.638,2672,true
before,positional_in_17,5,844.916,817.235,873.574,2752,true
current,positional_in_17,5,610.58,598.147,675.504,1680,true
baseline,positional_in_256,5,4430.321,4339.742,5431.48,9576,true
before,positional_in_256,5,4338.984,4114.174,4676.232,9656,true
current,positional_in_256,5,2133.107,2108.402,2440.022,6208,true
baseline,positional_in_expression,5,4469.849,4291.536,6313.242,9760,true
before,positional_in_expression,5,5010.766,4837.008,5290.946,10904,true
current,positional_in_expression,5,3172.937,3107.25,4182.138,7536,true
baseline,positional_insert_entity,5,611.561,601.979,701.973,1816,true
before,positional_insert_entity,5,632.18,607.29,633.862,1816,true
current,positional_insert_entity,5,559.198,536.676,581.627,1192,true
baseline,positional_insert_placeholders,5,720.045,654.621,1095.758,1944,true
before,positional_insert_placeholders,5,697.668,668.447,763.677,2096,true
current,positional_insert_placeholders,5,479.903,453.326,503.795,1208,true
baseline,positional_insert_values,5,838.444,798.553,978.739,2104,true
before,positional_insert_values,5,805.27,792.381,848.29,2232,true
current,positional_insert_values,5,632.41,596.292,640.723,1464,true
baseline,positional_join_on,5,1617.415,1564.02,2016.116,3832,true
before,positional_join_on,5,1319.229,1297.018,1353.665,3896,true
current,positional_join_on,5,1140.165,1064.684,1248.115,2424,true
baseline,positional_join_using,5,875.6,855.365,1126.849,3056,true
before,positional_join_using,5,868.598,852.355,990.309,3224,true
current,positional_join_using,5,718.772,681.963,878.446,1752,true
baseline,positional_late_modifier,5,670.595,665.323,808.13,2360,true
before,positional_late_modifier,5,637.481,627.104,745.256,2440,true
current,positional_late_modifier,5,515.057,507.977,562.406,1432,true
baseline,positional_mixed_literals,5,1228.332,1136.162,1378.971,2800,true
before,positional_mixed_literals,5,1143.401,1102.65,1224.073,2976,true
current,positional_mixed_literals,5,885.535,847.056,929.079,1696,true
baseline,positional_naming_CAMEL_CASE,5,3342.193,3197.355,4967.212,4928,true
before,positional_naming_CAMEL_CASE,5,4438.574,4337.099,5049.406,6408,true
current,positional_naming_CAMEL_CASE,5,2297.417,2192.654,2566.476,1880,true
